Ico_Name,ICO_website,TRUE,Fall,Fall2
Endor,https://www.endor.com/,Endor Protocol,E-Dinar Coin,
GOToken,https://parkingo.io/,ParkinGo,GoNetwork,
Havven,https://havven.io/,Havven,nUSD,
IQ Receipt,https://iq.cash/,IQ.cash,Everipedia,
Karma,https://www.karma.red/,Karma,KARMA,
MediBloc,https://medibloc.org/,MediBloc [QRC20],MediBloc [ERC20],
NEO,https://neo.org/,NEO,Gas,
Neuromation,https://neuromation.io/,Neurotoken,NetKoin,
Nimiq,https://nimiq.com/,Nimiq Exchange Token,NetCoin,Nimiq
Ontology Network,https://ont.io/,Ontology,SoMee.Social,ONG
Oyster,https://oysterprotocol.com/,Oyster,Oyster Shell,
Pundi X,https://www.pundix.com/,Pundi X,Pundi X NEM,
Robin8,https://robin8put.org/,Profile Utility Token,PutinCoin,
Spectre,https://spectre.ai/,Spectre.ai Dividend Token,Spectre.ai Utility Token,
Storj,https://storj.io/,Storj,Storjcoin X,
Themis Network,https://themis.network/,Themis,GET Protocol,
TokenStars TEAM,https://tokenstars.com/team/,TEAM (TokenStars),ACE (TokenStars),
TokenStars ACE,https://tokenstars.com/ace/,ACE (TokenStars),TEAM (TokenStars),
Waves,https://wavesplatform.com/,Waves,Waves Community Token,
WAWLLET,https://www.wawllet.com/,WCOIN,WinToken,
Zipper,https://zipper.org/,Zipper,Zippie,
COMSA,https://comsa.io/,COMSA [ETH], COMSA [XEM],
Aurora IDEX,https://auroradao.com/,Aurora DAO,IDEX Membership,
Bodhi,https://www.bodhi.network/,Bodhi,Bodhi [ETH],
DigixDAO,https://digix.global/,DigixDAO,Digix Gold Token,
GOLOS,https://golos.io/,Golos,Golos Gold,
Loopring,https://loopring.org/,Loopring,Loopring [NEO],
Hedge Token,https://hedge-crypto.com/,Hedge,,
Hedge,https://hedgetrading.io/,-,Hedge,
Hero,https://hero.org/,-,Hero,
Swing,http://swing.strikingly.com/,-,Swing,
AB-CHAIN,https://ab-chain.com/,AB-Chain RTB,,
ABCC Token,https://abcc.com/,ABCC Token,,
APEX,https://www.apexnetwork.io/,Apex,,
ARToken,https://artoken.io/,Cappasity,,
Bibox,https://www.bibox365.com/,Bibox Token,,
BitBounce,https://bitbounce.com/,Credo,,
BitForex,https://bitforex.com/,BitForex,,
BitScreener,https://bitx.bitscreener.com/,BitScreener Token,,
Bitspark (Zephyr),https://zephyr.bitspark.io/,Zephyr,,
ChainLink,https://chain.link/,Chainlink,,
Cloud Token,https://cloudwith.me/,Cloud,,
CryptoPay (Cpay),https://cryptopay.me/,Cryptopay,,
District0x,https://district0x.io/,district0x,,
Dragon,https://drgtoken.io/,Dragon Coins,,
Eligma,https://eligma.com/,Eligma Token,,
Empowr,https://secure.empowr.com,empowr coin,,
EZPOS (EZToken),https://www.eztoken.io/,EZToken,,
FluzFluz,https://ico.fluzfluz.com/,Fluz Fluz,,
FORTUNA,https://www.fota.io/,Fortuna,,
Giftcoin,http://www.giftcoin.org/,-,Gifto,
Huobi token,https://www.huobi.com/,Huobi Token,,
IXledger,https://www.ixledger.com/,IXT,,
LeviarCoin,https://leviarcoin.org/,Leviar,,
LiveEdu,https://education-ecosystem.com/,Education Ecosystem,,
Monaco,https://mco.crypto.com/,Crypto.com,,
Naga,https://naga.com/,NAGA,,
Narrative network,https://tokensale.narrative.org/,Narrative,,
Neverdie,https://neverdie.com/,NEVERDIE,,
OmiseGo,https://www.omise.co/,OmiseGO,,
OPUS,https://opus.audio/,Opus,,
QUANTUM,https://www.quantumproject.org/,Quantum,Quantum Resistant Ledger,
REMME,https://tokensale.remme.io/,Remme,,
SALPay,https://ico.salpay.com/,SalPay,,
Scorum,https://scorumcoins.com/,Scorum Coins,,
SCRY.INFO,https://www.scry.info/,Scry.info ,,
Snip,https://www.snip.network/,SnipCoin,,
Snovio,https://token.snov.io/,Snovian.Space,,
Sola,https://sola.foundation/,Sola Token,SolarCoin,
STeX,https://trade.stex.exchange/,A2A,STEX,
Things Operating System,https://www.toschain.org/,ThingsOperatingSystem,,
Ties Network,https://tiesdb.com/,Ties.DB,,
Trackr,https://www.trackr.im/,CryptoInsight,,
TronClassic,https://www.tronclassic.xyz/,TRONCLASSIC,,
Vivid,https://vividcoin.app/,Vivid Coin,,
XinFin,https://www.xinfin.org/,XinFin Network,,
ZenGold,https://zengold.org/,ZNC,ZenGold,
TrustToken,https://www.trusttoken.com/,TRU,TUSD,TRUEUSD
Litecoin Cash,https://litecoin-cash.io/,LTCH,LCC,
Embermine,https://www.embermine.com/,EMB,MBRS,
Dcorp,https://www.dcorp.it/,DRP,DRPU,
Alphabit,https://alphabit.co/,LPH,ABC,
EncryptoTel,encryptotel.com,EncryptoTel [WAVES],EncryptoTel [ETH],